clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
ACETAMINOFEN 500 MG,37316,ME25466/2,ACETAMINOFEN 500 mg X 10 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53478.jpg,9,5
ACETAMINOFEN 500 MG,37317,ME25466/3,ACETAMINOFEN 500 mg X 30 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30141.jpg,9,5
ACETAMINOFEN 500 MG,37318,ME31234,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2337.jpg,9,5
ACETAMINOFEN 500 MG,37319,ME23275/2,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,9,5
ACETAMINOFEN 500 MG,37320,ME23275/3,ACETAMINOFEN 500 mg X 12 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22400.jpg,9,5
ACETAMINOFEN 500 MG,37321,ME23275/4,ACETAMINOFEN 500 mg X 24 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22401.jpg,9,5
ACETAMINOFEN 500 MG,37324,ME37095,ACETAMINOFEN 500 mg X 20 TABLETAS,Acetaminofen,TABLETAS,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg,9,5
ACETAMINOFEN 500 MG,39011,ME43427/2,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,9,5
ACETAMINOFEN 500 MG,39012,ME43427/3,ACETAMINOFEN 500 mg X 30 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,9,5
ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10MG,37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 20 TABLETAS RE,,TABLETAS,"LABORATORIO LA SANTE, C.A.",,2,1
