clave_mf,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo
FOLICO ACIDO ||| TABLETAS,38570,ME42320/2,NONAFOL 5 mg X 10 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23099.jpg,20
FOLICO ACIDO ||| TABLETAS,38571,ME42320/3,NONAFOL 5 mg X 20 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21982.jpg,20
FOLICO ACIDO ||| TABLETAS,38572,ME42320/4,NONAFOL 5 mg X 30 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21983.jpg,20
FOLICO ACIDO ||| TABLETAS,39018,ME29911/2,ACIDO FOLICO 10 mg X 20 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4100.jpg,20
FOLICO ACIDO ||| TABLETAS,39019,ME29911/3,ACIDO FOLICO 10 mg X 30 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,20
FOLICO ACIDO ||| TABLETAS,39022,ME29912,ACIDO FOLICO 5 mg X 30 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://pccentro.net.ve/img/s/7/6/0/1/2/76012-large_default.webp,20
FOLICO ACIDO ||| TABLETAS,39216,ME33238/4,FERGANIC FOLIC 40 mg - 350 mcg X 24 TABLETAS MASTICABLES,Folico Acido,TABLETAS,MEGALABS S.A.,https://pccentro.net.ve/img/s/7/5/7/3/2/75732-large_default.webp,20
FOLICO ACIDO ||| TABLETAS,39217,ME33238/2,FERGANIC FOLIC 40 mg - 350 mcg X 14 TABLETAS MASTICABLES,Folico Acido,TABLETAS,MEGALABS S.A.,https://pccentro.net.ve/img/s/7/5/7/3/2/75732-large_default.webp,20
FOLICO ACIDO ||| TABLETAS,39218,ME33238/5,FERGANIC FOLIC 40 mg - 350 mcg X 30 TABLETAS MASTICABLES,Folico Acido,TABLETAS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90601.jpg,20
FOLICO ACIDO ||| TABLETAS,39219,ME33238/3,FERGANIC FOLIC 40 mg - 350 mcg X 20 TABLETAS MASTICABLES,Folico Acido,TABLETAS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3971.jpg,20
ACIDO IBANDRONICO SODIO MONOHIDRATO ||| TABLETAS,37302,ME43094,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52763.jpg,3
ACIDO IBANDRONICO SODIO MONOHIDRATO ||| TABLETAS,38204,ME38784,IBANDROMET 150 mg X 1 TABLETAS RECUBIERTAS,Acido Ibandronico Sodio Monohidrato,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97785.jpg,3
ACIDO IBANDRONICO SODIO MONOHIDRATO ||| TABLETAS,39112,ME37009,BONAMES 150 mg X 1 TABLETAS RECUBIERTAS,Acido Ibandronico Sodio Monohidrato,TABLETAS,LABORATORIOS FARMA S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99210.jpg,3
ACETAZOLAMIDA ||| TABLETAS,37307,ME36867,ACETAB 250 mg X 20 TABLETAS,Acetazolamida,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90118.jpg,3
ACETAZOLAMIDA ||| TABLETAS,37327,ME34148/3,ACETAZOLAMIDA 250 mg X 20 TABLETAS,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53492.jpg,3
ACETAZOLAMIDA ||| TABLETAS,37328,ME34148/2,ACETAZOLAMIDA 250 mg X 10 TABLETAS,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53177.jpg,3
ACETAMINOFEN ||| COMPRIMIDOS,37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23926.jpg,7
ACETAMINOFEN ||| COMPRIMIDOS,37316,ME25466/2,ACETAMINOFEN 500 mg X 10 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53478.jpg,7
ACETAMINOFEN ||| COMPRIMIDOS,37317,ME25466/3,ACETAMINOFEN 500 mg X 30 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30141.jpg,7
