id,sku,nombre_comercial,foto_url,activo
37332,ME30496/3,ACEVAL 650 mg X 50 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24308.jpg,true
37333,ME31082,ACICLOR 1 g X 10 COMPRIMIDOS A.P.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3203.jpg,true
37334,ME24209,ACICLOR 5 % CREMA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8876.jpg,true
37335,ME43512,ACICLOVIR CREMA 5 %,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98573.jpg,true
37336,HO40581,ACICLOVIR 250 mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51935.jpg,true
37338,ME28634,ACICLOR 200 mg / 5 mL POLVO PARA SUSPENSION,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51989.jpg,true
37339,ME26178/3,ACICLOVIR 200 mg X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29551.jpg,true
37340,ME26178/2,ACICLOVIR 200 mg X 10 TABLETAS,https://pccentro.net.ve/img/s/8/3/7/6/5/83765-large_default.webp,true
37341,ME26178/4,ACICLOVIR 200 mg X 24 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7859.jpg,true
37342,ME31108,ACICLOVIR 200 mg X 25 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11560.jpg,true
37345,ME34553/2,ACIDO ACETILSALICILICO 81 mg X 24 TABLETAS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7271.jpg,true
37347,HO44464,ACIDO ASCORBICO 500 mg / 5 mL SOLUCIÓN INYECTABLE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23088.jpg,true
37350,HO3187/3,ACIDO FOLICO 10 mg / mL X 10 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22846.jpg,true
37351,HO3187/2,ACIDO FOLICO 10 mg / mL X 3 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20.jpg,true
37352,HO3187/4,ACIDO FOLICO 10 mg / mL X 20 AMPOLLAS,https://pccentro.net.ve/img/s/7/7/6/9/5/77695-large_default.webp,true
37353,ME33347,ACIDO FOLICO 10 mg COMPRIMIDOS,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,true
