producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37383,ME40605/2,ALBENDAZOL 200 MG X 2 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,SM PHARMA C.A.,no_match_fuentes,,,,,
37384,ME40605/3,ALBENDAZOL 200 MG X 6 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,SM PHARMA C.A.,no_match_fuentes,,,,,
37399,ME43815,ALIVET 100 MG - 0.42 MG / ML X 10 SOLUCION ORAL,ALIVET,Acetaminofen - Clorfenamina,SOLUCION ORAL,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37415,ME29182,CLORHIDRATO DE AMBROXOL 15 MG / 5ML.SOLUCION ORAL,CLORHIDRATO DE AMBROXOL,Ambroxol,SOLUCION ORAL,MEGALABS S.A.,no_match_fuentes,,,,,
37416,ME29181,CLORHIDRATO DE AMBROXOL 30 MG / 5 ML SOLUCION ORAL,CLORHIDRATO DE AMBROXOL,Ambroxol,SOLUCION ORAL,LABORATORIOS KIMICEG C.A.,no_match_fuentes,,,,,
37418,HO23247,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,AMIKACINA,Amikacina,INYECTABLE,C.A. PRODUCTOS RONAVA,no_match_fuentes,,,,,
37419,HO24946,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,AMIKACINA,Amikacina,INYECTABLE,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37437,ME43309,CLAVULAM 875 MG - 125 MG TABLETAS RECUBIERTAS,CLAVULAM,Amoxicilina - Clavulanico Acido,TABLETAS,LABORATE PHARMACEUTICALS INDIA LTD,no_match_fuentes,,,,,
37440,ME20340/3,AMOXICILINA 500 MG X 10 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37441,ME20340/4,AMOXICILINA 500 MG X 12 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37442,ME20340/2,AMOXICILINA 500 MG X 6 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37445,ME20104,AMOXICILINA 125 MG / 5 ML POLVO PARA SUSPENSION,AMOXICILINA,Amoxicilina,POLVO PARA RECONSTITUCION,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37447,ME25639,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION,AMOXICILINA,Amoxicilina,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,no_match_fuentes,,,,,
37451,ME37262,AMOXIVAL 750 ML / 5 ML POLVO PARA SUSPENSION ORAL,AMOXIVAL,Amoxicilina,POLVO PARA RECONSTITUCION,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37454,ME24809,AMPICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMPICILINA,Ampicilina,POLVO PARA RECONSTITUCION,SM PHARMA C.A.,no_match_fuentes,,,,,
37463,ME42609,ANASTROZOL 1 MG X 30 TABLETAS RECUBIERTAS,ANASTROZOL,Anastrozol,TABLETAS,SALUTAS PHARMA GMBH.,no_match_fuentes,,,,,
37471,ME43410/2,ANTAAR 1.25 MG X 10 TABLETAS RECUBIERTAS,ANTAAR,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37474,ME40266,ANTILAX PLUS 2 MG - 125 MG X 10 CAPSULAS,ANTILAX PLUS,,CAPSULAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37476,ME42864,APIRET 120 MG / 5 ML SOLUCION ORAL,APIRET,,SOLUCION ORAL,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37477,ME42860,APIRET 160 MG / 5 ML SOLUCION ORAL,APIRET,,SOLUCION ORAL,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37481,ME43847,APIBLOTAN 5 MG X 60 TABLETAS RECUBIERTAS,APIBLOTAN,Apixaban,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,no_match_fuentes,,,,,
37512,ME25816,ATENOLOL 100 MG X 30 TABLETAS,ATENOLOL,Atenolol,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37513,ME25817,ATENOLOL 50 MG X 30 TABLETAS,ATENOLOL,Atenolol,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37514,ME25982,ATENOLOL 50 MG X 30 COMPRIMIDOS,ATENOLOL,Atenolol,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37518,ME32690/3,ATORVASTATINA 20 MG X 14 COMPRIMIDOS RECUBIERTOS,ATORVASTATINA,Atorvastatina,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37523,ME35340/3,ATORVASTATINA 40 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,Atorvastatina,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37524,ME35340/2,ATORVASTATINA 40 MG X 14 TABLETAS RECUBIERTAS,ATORVASTATINA,Atorvastatina,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,AZITROMICINA,Azitromicina,SUSPENSION ORAL,COOPER PHARMA LTD,no_match_fuentes,,,,,
37549,ME1645,BACITRACINA 125 MG / 15 G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,PFIZER VENEZUELA S.A.,no_match_fuentes,,,,,
37550,ME20140,BACITRACINA 500 UI - G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,C.A. PRODUCTOS RONAVA,no_match_fuentes,,,,,
37563,ME33045/2,BENZODIAZOL 0.25 MG - 5 MG X 4 PASTILLAS SABOR A TUTTI FRUTTI,BENZODIAZOL,,PASTILLA,LABORATORIOS SIEGFRIED S.A.,no_match_fuentes,,,,,
37566,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,BETADINE,,SOLUCION TOPICA,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37567,ME37878,BETADUO 6.430 MG - 2.631 MG / ML X 1 AMPOLLA,BETADUO,,INYECTABLE,PHARMAYECT S.A.,no_match_fuentes,,,,,
37573,HO36271/2,BETAMETASONA 4 MG / ML X 1 AMPOLLA,BETAMETASONA,Betametasona,INYECTABLE,PHARMAYECT S.A.,no_match_fuentes,,,,,
37574,HO36271/3,BETAMETASONA 4 MG / ML X 10 AMPOLLAS,BETAMETASONA,Betametasona,INYECTABLE,PHARMAYECT S.A.,no_match_fuentes,,,,,
37575,ME22866,BEXILON 4 MG / 5 ML JARABE,BEXILON,,JARABE,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,no_match_fuentes,,,,,
