producto_id,sku,nombre_comercial,foto_url,fuente,fecha
37449,ME31313,AMOXIDUO 875 MG X 14 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1481.jpg,cobeca,
37450,ME21824,AMOXIVAL 500 MG X 12 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5739.jpg,cobeca,
37453,ME40054,AMOXIVAL 875 MG X 20 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98747.jpg,cobeca,
37455,ME43076,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28394.jpg,cobeca,
37456,ME35424,ANALPER PLUS 500 MG - 10 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7690.jpg,cobeca,
37457,ME40477,ANANTY FORTE 160 MG / 5 ML SUSPENSION,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13266.jpg,cobeca,
37458,ME38820,ANANTY 120 MG / 5 ML SUSPENSION,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6865.jpg,cobeca,
37459,ME42977,ANANTY 650 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6868.jpg,cobeca,
37460,ME44118,ANAPIRFLEX 600 MG – 4 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29669.jpg,cobeca,
37462,ME24592/3,ANASMOL 5 MG X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95473.jpg,cobeca,
39051,ME27042,ANASMOL 2.5 MG COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1878.jpg,cobeca,
37467,ME30811,ANSILAN 0.5 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1297.jpg,cobeca,
37468,ME30871,ANSILAN 1 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1298.jpg,cobeca,
37469,ME41688,ANSILAN 2 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16881.jpg,cobeca,
37470,ME43410/3,ANTAAR 1.25 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29562.jpg,cobeca,
37472,ME39619,ANTAAR 10 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17094.jpg,cobeca,
39054,ME40060/3,ANTAAR 2.5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15626.jpg,cobeca,
39055,ME40060/2,ANTAAR 2.5 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21066.jpg,cobeca,
39056,ME40058,ANTAAR 5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16094.jpg,cobeca,
37473,ME40192,ANTIFOM 160 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23430.jpg,cobeca,
37475,ME43225,APIRET FORTE 650 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50410.jpg,cobeca,
37478,ME43224,APIRET 500 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28791.jpg,cobeca,
39061,ME42275,APIRET 125 MG SUPOSITORIOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26389.jpg,cobeca,
39062,ME34032,APIRET 180 MG / 5 ML SOLUCION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99842.jpg,cobeca,
39063,ME42141,APIRET 250 MG SUPOSITORIOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22131.jpg,cobeca,
