fila,accion,id,sku,nombre_comercial,foto_url,fuente
209,asignar,38409,ME31205/3,LOSARTAN POTASICO 50 MG X 20 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92637.jpg,generico_lab
215,asignar,38396,ME29469/2,LOSARTAN POTASICO 50 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3399.jpg,generico_lab
240,asignar,39439,ME36242,CLOBETASOL PROPIONATO 0.05 % UNGUENTO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90441.jpg,generico_lab
244,asignar,38516,ME37148,MOXIFLOXACINA 400 MG X 7 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90066.jpg,generico_lab
250,asignar,38552,ME28779,NIFEDIPINA 10 MG X 14 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27546.jpg,generico_lab
265,asignar,38601,ME28613/3,OMEPRAZOL 20 MG X 30 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29950.jpg,generico_lab
267,asignar,39327,ME43452/3,OMEPRAZOL 40 MG X 30 CAPSULAS GASTRORRESISTENTES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50576.jpg,generico_lab
268,asignar,39326,ME43452/2,OMEPRAZOL 40 MG X 7 CAPSULAS GASTRORRESISTENTES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29583.jpg,generico_lab
269,asignar,39327,ME43452/3,OMEPRAZOL 40 MG X 30 CAPSULAS GASTRORRESISTENTES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50576.jpg,generico_lab
284,asignar,38669,ME23852,PIROXICAM 20 MG X 10 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10007.jpg,generico_lab
