producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,nota_del_dueno
37337,MONARC- M 250 U. 1 X 1 AMPOLLA,HO1046,,CORPORACION COLIMODIO C.A.,PENDIENTE_REAL,
37374,AGUA BIDESTILADA INYECTABLE,HO32804,,LABORATORIO COFASA S.A.,SIN_MOLECULA_POR_DECISION,
37375,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,HO1694,,LABORATORIOS VALMOR C.A.,SIN_MOLECULA_POR_DECISION,
37395,ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS,ME42912,,ESPECIALIDADES DOLLDER C.A.,PENDIENTE_REAL,
37476,APIRET 120 MG / 5 ML SOLUCION ORAL,ME42864,,LABORATORIOS L.O. OFTALMI C.A.,PENDIENTE_REAL,
37477,APIRET 160 MG / 5 ML SOLUCION ORAL,ME42860,,LABORATORIOS L.O. OFTALMI C.A.,PENDIENTE_REAL,
37527,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,ME40958,,C.A. PRODUCTOS RONAVA,PENDIENTE_REAL,
37557,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,ME29570,,LABORATORIO COFASA S.A.,PENDIENTE_REAL,
37615,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,ME40260,,SM PHARMA C.A.,PENDIENTE_REAL,
37742,CIFARCAINA AL 2 % X 2 AMPOLLAS,HO9190,,LABORATORIO BEHRENS C.A.,PENDIENTE_REAL,
37743,CIFARCAINA AL 1 % SOLUCION INYECTABLE,HO9189,,LABORATORIO BEHRENS C.A.,PENDIENTE_REAL,
37766,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,ME36822/3,,CALOX INTERNATIONAL C.A.,PENDIENTE_REAL,
37767,CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,ME36822/2,,CALOX INTERNATIONAL C.A.,PENDIENTE_REAL,
37794,CLONIDINA CLORHIDRATO 0.150 MG / ML X 2 AMPOLLAS,HO31483/2,,LABORATORIOS VALMOR C.A.,PENDIENTE_REAL,
37795,CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS,HO31483/3,,LABORATORIOS VALMOR C.A.,PENDIENTE_REAL,
37835,COMPLEJO DE VITAMINA B X 3 AMPOLLAS,HO1587,,PRODUCTOS LISTER FENIX C.A.,SIN_MOLECULA_POR_DECISION,
37934,DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,ME43099,,VIDA LABORATORIES (P) LIMITED,PENDIENTE_REAL,
37994,DUVADILAN 10 MG X 30 COMPRIMIDOS,ME11176,,LABORATORIOS VARGAS S.A.,PENDIENTE_REAL,
38008,ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL,ME1103,,CALOX INTERNATIONAL C.A.,PENDIENTE_REAL,
38091,FINASTERIDE 5 MG X 30 TABLETAS RECUBIERTAS,ME30089,,CALOX INTERNATIONAL C.A.,PENDIENTE_REAL,
38092,NIAZOL 1 MG / ML X 10 SOLUCION NASAL,ME784,,BIOTECH LABORATORIOS C.A.,PENDIENTE_REAL,
