producto_id,sku,nombre_comercial,nucleo,foto_url,fuente,detalle
37396,ME16713,ALGOREN 10 MG X 20 TABLETAS,ALGOREN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/104.jpg,cobeca,ALGOREN TAB 10MG X20 RNV
37401,ME33170,ALPRAM 0.5 MG X 30 TABLETAS,ALPRAM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5177.jpg,cobeca,"ALPRAM TAB 0,5 MG X30 VLM"
37402,ME33214,ALPRAM 1 MG X 30 TABLETAS,ALPRAM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5184.jpg,cobeca,ALPRAM TAB 1MG X30 VLM
37403,ME33171,ALPRAM 2 MG X 30 TABLETAS,ALPRAM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5185.jpg,cobeca,ALPRAM TAB 2MG X30 VLM
37407,ME33085/2,ALSART 160 MG X 10 CAPSULAS,ALSART,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20787.jpg,cobeca,ALSART CAP 160MG X10 MEY
37409,ME33084/2,ALSART 80 MG X 10 CAPSULAS,ALSART,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20332.jpg,cobeca,ALSART CAP 80MG X10 MEY
37410,ME33084/3,ALSART 80 MG X 30 CAPSULAS,ALSART,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20333.jpg,cobeca,ALSART CAP 80MG X30 MEY
37411,ME41242,ALURON 300 MG X 20 COMPRIMIDOS,ALURON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13540.jpg,cobeca,ALURON COMP 300MG X20 RNV
37412,ME16002,ALURON 100 MG X 30 TABLETAS,ALURON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/119.jpg,cobeca,ALURON TAB 100MG X30 RNV
37413,ME44324,AMANIRIS 81 MG X 30 COMPRIMIDOS CON CUBIERTA ENTERICA,AMANIRIS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29745.jpg,cobeca,AMANIRIS COMP C/ENT 81MG X 30
37449,ME31313,AMOXIDUO 875 MG X 14 COMPRIMIDOS RECUBIERTOS,AMOXIDUO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1481.jpg,cobeca,AMOXIDUO COMP 875MG X14 MEG
37450,ME21824,AMOXIVAL 500 MG X 12 CAPSULAS,AMOXIVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5739.jpg,cobeca,AMOXIVAL CAP 500MG X12 VLM
37453,ME40054,AMOXIVAL 875 MG X 20 TABLETAS RECUBIERTAS,AMOXIVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98747.jpg,cobeca,AMOXIVAL TAB REC 875MG X20 VLM
37455,ME43076,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,AMPLIDER,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28394.jpg,cobeca,AMPLIDER CAP 50MG X10 VIV
37456,ME35424,ANALPER PLUS 500 MG - 10 MG X 10 TABLETAS RECUBIERTAS,ANALPER PLUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7690.jpg,cobeca,ANALPER PLUS TAB 500MG X10 PHARME
37457,ME40477,ANANTY FORTE 160 MG / 5 ML SUSPENSION,ANANTY FORTE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13266.jpg,cobeca,ANANTY FORTE JBE PED 160MG/5ML 120ML PLX
37458,ME38820,ANANTY 120 MG / 5 ML SUSPENSION,ANANTY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6865.jpg,cobeca,ANANTY SUSP 120MG/5ML 120ML PLX
37459,ME42977,ANANTY 650 MG X 10 TABLETAS,ANANTY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6868.jpg,cobeca,ANANTY TAB 650MG X 10
37460,ME44118,ANAPIRFLEX 600 MG – 4 MG X 10 TABLETAS RECUBIERTAS,ANAPIRFLEX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29669.jpg,cobeca,ANAPIRFLEX TAB 600MG/4MG X10 FC
37462,ME24592/3,ANASMOL 5 MG X 30 COMPRIMIDOS,ANASMOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95473.jpg,cobeca,ANASMOL COMP 5MG X30 MEG
39051,ME27042,ANASMOL 2.5 MG COMPRIMIDOS,ANASMOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1878.jpg,cobeca,"ANASMOL COMP 2,5MG X10 MEG"
37467,ME30811,ANSILAN 0.5 MG X 30 COMPRIMIDOS RECUBIERTOS,ANSILAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1297.jpg,cobeca,"ANSILAN COMP 0,5MG X30 MEG"
37468,ME30871,ANSILAN 1 MG X 30 COMPRIMIDOS RECUBIERTOS,ANSILAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1298.jpg,cobeca,ANSILAN COMP 1MG X30 MEG
37469,ME41688,ANSILAN 2 MG X 30 COMPRIMIDOS RECUBIERTOS,ANSILAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16881.jpg,cobeca,ANSILAN COMP 2MG X30 MEG
37470,ME43410/3,ANTAAR 1.25 MG X 30 TABLETAS RECUBIERTAS,ANTAAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29562.jpg,cobeca,ANTAAR TAB/REC 1.25MG X 30
37472,ME39619,ANTAAR 10 MG X 30 TABLETAS RECUBIERTAS,ANTAAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17094.jpg,cobeca,ANTAAR TAB REC 10MG X30 CLX
39054,ME40060/3,ANTAAR 2.5 MG X 30 TABLETAS RECUBIERTAS,ANTAAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15626.jpg,cobeca,"ANTAAR TAB REC 2,5MG X30 CLX"
39055,ME40060/2,ANTAAR 2.5 MG X 10 TABLETAS RECUBIERTAS,ANTAAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21066.jpg,cobeca,"ANTAAR TAB REC 2,5MG X10 CLX"
39056,ME40058,ANTAAR 5 MG X 30 TABLETAS RECUBIERTAS,ANTAAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16094.jpg,cobeca,ANTAAR TAB REC 5MG X30 CLX
37473,ME40192,ANTIFOM 160 MG X 10 COMPRIMIDOS RECUBIERTOS,ANTIFOM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23430.jpg,cobeca,ANTIFOM FORTE COMP REC 160MG X10 VARG
37475,ME43225,APIRET FORTE 650 MG X 10 TABLETAS,APIRET FORTE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50410.jpg,cobeca,APIRET FORTE TAB 650MG X 10
37478,ME43224,APIRET 500 MG X 10 TABLETAS,APIRET,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28791.jpg,cobeca,APIRET TAB 500 MG X 10
39061,ME42275,APIRET 125 MG SUPOSITORIOS,APIRET,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26389.jpg,cobeca,APIRET SUP 125MG X6 L.O
39062,ME34032,APIRET 180 MG / 5 ML SOLUCION ORAL,APIRET,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99842.jpg,cobeca,APIRET SOL ORAL 180MG 120ML L.O
39063,ME42141,APIRET 250 MG SUPOSITORIOS,APIRET,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22131.jpg,cobeca,APIRET SUP 250MG X6 L.O
37482,ME42366/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A BANANA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,APLACAL TAB MAST 750MG BAN X80 TARRO
37483,ME42366/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A BANANA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,APLACAL TAB MAST MENTA 750MG X10 MEY
39064,ME42368/2,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 10 TABLETAS,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,APLACAL TAB MAST MENTA 750MG X10 MEY
39065,ME42368/3,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 80 TABLETAS,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,APLACAL TAB MAST 750MG BAN X80 TARRO
39066,ME42365/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A MENTA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,APLACAL TAB MAST MENTA 750MG X10 MEY
