producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37345,ME34553/2,ACIDO ACETILSALICILICO 81 MG X 24 TABLETAS CON CUBIERTA ENTERICA,ACIDO ACETILSALICILICO,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",sin_match_cobeca
37346,ME34553/3,ACIDO ACETILSALICILICO 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,ACIDO ACETILSALICILICO,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",sin_match_cobeca
37347,HO44464,ACIDO ASCORBICO 500 MG / 5 ML SOLUCION INYECTABLE,ACIDO ASCORBICO,Ascorbico Acido,INYECTABLE,"GUIZHOU TIANDI PHARMACEUTICAL CO., LTD",sin_desc_lab
37349,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20 MG / ML - 3 MG / ML GEL INYECTABLE,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO),Hialuronico Acido,INYECTABLE,Q-MED AB.,sin_desc_lab
37350,HO3187/3,ACIDO FOLICO 10 MG / ML X 10 AMPOLLAS,ACIDO FOLICO,Folico Acido,INYECTABLE,MEGALABS S.A.,sin_match_cobeca
37352,HO3187/4,ACIDO FOLICO 10 MG / ML X 20 AMPOLLAS,ACIDO FOLICO,Folico Acido,INYECTABLE,MEGALABS S.A.,sin_match_cobeca
37356,ME4630/2,ACIDO FOLICO 10 MG X 10 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,sin_match_cobeca
37361,ME37466,FUCIDIN H 20 MG - 10 MG / G CREMA.,FUCIDIN H,Acido Fusidico Hemihidrato,CREMA,"LEO LABORATORIES LTD, IRLANDA",sin_desc_lab
37363,ME23174/2,VALPRON 500 MG X 10 TABLETAS,VALPRON,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,sin_match_cobeca
37366,ME38066,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,,TABLETAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37367,ME44457,ACTUMIR DUO 12.5 MG-850 MG X 30 TABLETAS RECUBIERTAS,ACTUMIR DUO,Empagliflozina - Metformina,TABLETAS,LABORATORIOS FARMA S.A.,sin_match_cobeca
37368,ME43334,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,ADAPALENO - CLINDAMICINA,Adapaleno,GEL,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37369,HO34745,ADRENALINA 1 MG / ML X 5 AMPOLLAS,ADRENALINA,Adrenalina,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
