producto_id,nombre,sku,fuente,enlazada,ref_id,atc_id
39678,CIPROFLOXACINA INF INY200MG CRDIST 100 ML INYECTABLE,,Ciprofloxacina Inf Iny200mg Crdist,Ciprofloxacino,764,6356
39689,CLORHID MEBEVERINA 200 MG X 30 CAPSULAS,,Clorhid Mebeverina,Mebeverina,2204,172
39690,CLORURO SODICO 0.9 % INYECTABLE,,Cloruro Sodico,Sodio Cloruro,3995,7330
39708,DIOSMINA-HESPERIDINA 450 MG-50 MG COMPRIMIDOS RECUBIERTOS,,Diosmina Hesper,Diosmina,1120,1765
39713,DOXICICLINA 100 MG X 10 CAPSULAS,,Doxiciclina Hiclato,Doxiciclina,1156,49
39724,FLAVOXUNI FLAVOXATO 200 MG X 20 COMPRIMIDOS,,Flavoxuni Flavoxato,Flavoxato,1461,2969
39744,KETOROLACO TROMETAMOL 30 MG / ML X 10 AMPOLLAS,,Ketorolaco,Ketorolaco Trometamol,1957,1161
39746,KETOROLACO TROMETAMINA 20 MG X 10 COMPRIMIDOS,,Ketorolaco Trometamina,Ketorolaco,1956,4590
39752,LEVOFLOXACINA INF CRDIST 500 MG / 100 ML INYECTABLE,,Levofloxacina Inf Crdist,Levofloxacino,2067,6358
39765,LOPERAMIDA PORTU 2 MG X 100 COMPRIMIDOS,,Loperamida Portu,Loperamida,2121,482
39768,LOSARTAN HCT 50 MG X 30 COMPRIMIDOS,,Losartan Hct,Losartan,2131,1968
39769,LOSARTAN HCT 50 MG X 15 COMPRIMIDOS,,Losartan Hct,Losartan,2131,1968
39780,METFORMINA LP 1000 MG X 30 TABLETAS,,Metformina Lp,Metformina,2280,598
39796,LOSARTAN HCT TABR 50 MG X 30 COMPRIMIDOS,,Losartan Hct Tabr,Losartan,2131,1968
39798,NITROFURANTOINA LAPROFF 100 MG X 300 TABLETAS,,Nitrofurantoina Laproff,Nitrofurantoina,2518,3455
39814,CRISPLUS ORLISTAT ELEA ZUOZ 120 MG X 30 CAPSULAS,,Crisplus Orlistat Elea Zuoz,Orlistat,2598,536
39818,PARACETAMOL PORTU 100 MG / 10 ML SOLUCION ORAL,,Paracetamol Portu,Paracetamol,1,18
39831,PROPRANOLOL CLORH 40 MG X 20 TABLETAS,,Propranolol Clorh,Propranolol,2912,1796
39832,QUETIAPINA FARMAMED 100 MG X 10 TABLETAS,,Quetiapina Farmamed,Quetiapina,2948,5281
39855,TAMSULOSINA TAMSUHEM 0.4 MG X 10 CAPSULAS,,Tamsulosina Tamsuhem,Tamsulosina,3293,3009
39861,TIOCOLCHICOSIDO IMP 4 MG / 2 ML X 2 INYECTABLE,,Tiocolchicosido Imp,Tiocolchicosido,4000,7246
39866,VALSARTAN HCT TABREC 80 MG X 30 TABLETAS,,Valsartan Hct Tabrec,Valsartan,3596,1970
39876,BISOPROLOL HCT 2.5 MG X 15 COMPRIMIDOS,,Bisoprolol Hct,Bisoprolol,3830,1815
39877,ZYRTEC DICLORHIDRATO CETIRIZINA GSK FARMA 1 MG / 1 ML SOLUCION ORAL,,Zyrtec Diclorhidrato Cetirizina Gsk Farma,Cetirizina,710,6544
39892,CYNT SIMVASTATINA 20 MG X 20 COMPRIMIDOS,,Cynt Simvastatina,Simvastatina,3181,2014
39893,SALBUTAMOL INH 100 MCG INHALACION,,Salbutamol Inh,Salbutamol,3105,5962
39894,SALBUTAMOL INH 100 MCG LOCION,,Salbutamol Inh,Salbutamol,3105,5962
39904,CLOTRIMAZOL VAG 20 G CREMA,,Clotrimazol Vag,Clotrimazol,878,2720
39907,DYMAZOL CLOTRIMAZOL OVULOS VAGINAL 200 MG X 3 OVULOS,,Dymazol Clotrimazol Ovulos Vaginal,Clotrimazol,878,2720
39910,GLUTAMINA VIT B12 X 60 INYECTABLE,,Glutamina Vit B12,Glutamina,1671,1221
39913,DALCITRIN MUPIROCINA UNGUENTO,,Dalcitrin Mupirocina,Mupirocina,2388,5901
39917,DIOSMINA HESPER 450 MG X 30 TABLETAS,,Diosmina Hesper,Diosmina,1120,1765
