clave,survivor_id,survivor_sku,duplicado_id,duplicado_sku,diff_costo
"CALOX INTERNATIONAL, C.A.||30||AMLODIPINA 10 MG X 30 TABLETAS",37428,ME32016/3,37430,ME39126/3,2.43 vs 2.69
"CALOX INTERNATIONAL, C.A.||30||VALSARTAN - HIDROCLOROTIAZIDA 80 MG - 12,5 MG X 30 TABLETAS RECUBIERTAS",38923,ME35562/5,38930,ME35526/3,6.39 vs 5.1
