producto_id,nombre_comercial,estado,molecula_propuesta,n_moleculas
37908,PREVERAL CON DEXTROMETORFANO,sin_informacion,(No se encontró información),1
37914,DIAFORMINA 1000 MG,sin_informacion,(No se encontró información),1
37915,DIAFORMINA 500 MG,sin_informacion,(No se encontró información),1
37918,DIAGESIC 1.8 MG / ML,sin_informacion,(No se encontró información),1
37940,DIFENAC 1 % GEL,sin_informacion,(No se encontró información),1
37941,DIGLET 1000 U.I.,sin_informacion,(No se encontró información),1
37942,DIGLET 5000 U.I.,sin_informacion,(No se encontró información),1
37943,DIGLET 200 UI,sin_informacion,(No se encontró información),1
37944,DIKLASON 100 MG,sin_informacion,(No se encontró información),1
37945,DIKLASON BI 150 MG,sin_informacion,(No se encontró información),1
37947,DILOTEX 5 MG,sin_informacion,(No se encontró información),1
37948,DILOTEX 10 MG,sin_informacion,(No se encontró información),1
37959,DIPLOZ 1 MG,sin_informacion,(No se encontró información),1
37961,DOBET 2 % - 0.5 %,sin_informacion,(No se encontró información),1
37962,DOBRACID 300 MG,sin_informacion,(No se encontró información),1
37963,DOBRACID 300 MG,sin_informacion,(No se encontró información),1
37968,DOLAK 10 MG,sin_informacion,(No se encontró información),1
37969,DOLAK 10 MG,sin_informacion,(No se encontró información),1
37970,DOLAK 20 MG,sin_informacion,(No se encontró información),1
37971,DOLCAN 9 MG / 5 ML,sin_informacion,(No se encontró información),1
37988,DUROVAL 50 MG,sin_informacion,(No se encontró información),1
37989,DUROVAL 50 MG,sin_informacion,(No se encontró información),1
37990,DUROVAL 50 MG,sin_informacion,(No se encontró información),1
37991,DUROVAL 50 MG,sin_informacion,(No se encontró información),1
37994,DUVADILAN 10 MG,sin_informacion,(No se encontró información),1
38012,ERILON 1 MG / ML LOCION,sin_informacion,(No se encontró información),1
38027,ESMIRTAL 20 MG,sin_informacion,(No se encontró información),1
38053,EUKENE 40 MG,sin_informacion,(No se encontró información),1
38058,EUTEBROL 20 MG,sin_informacion,(No se encontró información),1
38062,EZOLIUM 20 MG,sin_informacion,(No se encontró información),1
38063,EZOLIUM 40 MG,sin_informacion,(No se encontró información),1
38065,FARBICIL 1 % CREMA,sin_informacion,(No se encontró información),1
38066,FEBRATIC 15 MG / ML,sin_informacion,(No se encontró información),1
38075,FERGANIC 40 MG,sin_informacion,(No se encontró información),1
38076,FERGANIC 40 MG,sin_informacion,(No se encontró información),1
38077,FERGANIC 40 MG,sin_informacion,(No se encontró información),1
38078,FERGANIC 20 MG / ML,sin_informacion,(No se encontró información),1
38082,FERGANIC 40 MG / 15 ML,sin_informacion,(No se encontró información),1
38083,FERGANIC 100 MG / 5 ML,sin_informacion,(No se encontró información),1
38092,NIAZOL 1 MG / ML,sin_informacion,(No se encontró información),1
38093,MONOSULPA X 260,sin_informacion,(No se encontró información),1
38094,FISIOLIN 0.65 %,sin_informacion,(No se encontró información),1
38100,FLAVOL 300 MG,sin_informacion,(No se encontró información),1
38105,FLEMIBAR 20 MG - 2500 MG / 5 ML,sin_informacion,(No se encontró información),1
38109,FLODONT 0.15 %,sin_informacion,(No se encontró información),1
38110,FLOMED 0.15 % - 0.25 %,sin_informacion,(No se encontró información),1
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,sin_informacion,(No se encontró información),1
38136,FULGRAM 875 MG - 125 MG,sin_informacion,(No se encontró información),1
38152,GENESA 3 MG-20 MCG,sin_informacion,(No se encontró información),1
38153,GENESA 3 MG-20 MCG,sin_informacion,(No se encontró información),1
38157,GENURIN 200 MG,sin_informacion,(No se encontró información),1
38163,GLIDAN 80 MG,sin_informacion,(No se encontró información),1
38165,GLIFORMIN 850 MG,sin_informacion,(No se encontró información),1
38172,GLUCOFAGE 500 MG XR,sin_informacion,(No se encontró información),1
38178,GRATIO 500 MG,sin_informacion,(No se encontró información),1
38180,GULAPER 250 MG / 5 ML,sin_informacion,(No se encontró información),1
38182,GULAPER 100 MG / 5 ML,sin_informacion,(No se encontró información),1
38183,GYNODERAIN 0.6 G,sin_informacion,(No se encontró información),1
38189,HEXANTFLEM 250 MG / 5 ML,sin_informacion,(No se encontró información),1
38212,IBUN 600 MG,sin_informacion,(No se encontró información),1
38238,IDOXEN 75 MG,sin_informacion,(No se encontró información),1
38239,IDOXEN 150 MG,sin_informacion,(No se encontró información),1
38240,ILANA 600 MG,sin_informacion,(No se encontró información),1
38241,ILTUX 20 MG,sin_informacion,(No se encontró información),1
38249,FLUTIXAIR 125 MG - 25 MCG / DOSIS,sin_informacion,(No se encontró información),1
38251,IPROXIN 500 MG,sin_informacion,(No se encontró información),1
38268,KATRIN 30 MG / ML,sin_informacion,(No se encontró información),1
38304,KLAS 100 MG,sin_informacion,(No se encontró información),1
38306,LACTBET 3000 U,sin_informacion,(No se encontró información),1
38307,LACTBET 3000 U,sin_informacion,(No se encontró información),1
38317,LENTOCILIN 6.3.3,sin_informacion,(No se encontró información),1
38318,LEPRIT 25 MG,sin_informacion,(No se encontró información),1
38326,LETISAN 500 MG,sin_informacion,(No se encontró información),1
38327,LETISAN 500 MG,sin_informacion,(No se encontró información),1
38329,LEVAMOX 750 MG,sin_informacion,(No se encontró información),1
38355,LINEZID 2 MG / ML,sin_informacion,(No se encontró información),1
38356,LIOLACTIL X 20 SOBRES,sin_informacion,(No se encontró información),1
38358,LIPACOMB 40 MG - 10 MG,sin_informacion,(No se encontró información),1
38364,LISOMUCIN 4 MG / 5 ML,sin_informacion,(No se encontró información),1
38365,LISOMUCIN 8 MG / 5 ML,sin_informacion,(No se encontró información),1
38368,LODIPIN 10 MG,sin_informacion,(No se encontró información),1
38369,LODIPIN VL 10 MG - 160 MG,sin_informacion,(No se encontró información),1
38370,LOFLOX 400 MG,sin_informacion,(No se encontró información),1
38371,LOGANIL 250 MG / 5 ML,sin_informacion,(No se encontró información),1
38372,LOGANIL 100 MG / 5 ML,sin_informacion,(No se encontró información),1
38393,LORECORT 1 MG - 0.05 MG / 5 ML,sin_informacion,(No se encontró información),1
38413,LOWPRES 150 MCG / ML,sin_informacion,(No se encontró información),1
38430,MATERNAVIT,sin_informacion,(No se encontró información),1
38432,MAXIFUR 50 MG,sin_informacion,(No se encontró información),1
38437,MELIGEN 10 MG,sin_informacion,(No se encontró información),1
38491,MILAX 50 %,sin_informacion,(No se encontró información),1
38492,MIOVIT COMPOSITUM CON LIDOCAINA,sin_informacion,(No se encontró información),1
38493,MIOVIT COMPOSITUM CON LIDOCAINA,sin_informacion,(No se encontró información),1
38494,MIOVIT COMPOSITUM CON LIDOCAINA,sin_informacion,(No se encontró información),1
38495,MIOVIT X 10 COMPRIMIDOS,sin_informacion,(No se encontró información),1
38496,MIOVIT X 30 COMPRIMIDOS,sin_informacion,(No se encontró información),1
38507,MONTRAX 10 MG,sin_informacion,(No se encontró información),1
38508,MONTRAX 10 MG,sin_informacion,(No se encontró información),1
38509,MONTRAX 4 MG,sin_informacion,(No se encontró información),1
38510,MONTRAX 5 MG,sin_informacion,(No se encontró información),1
38511,MONTRAX 5 MG,sin_informacion,(No se encontró información),1
38515,MOXIDEX 0.5 -0.1 %,sin_informacion,(No se encontró información),1
38519,MUCLAR 30 MG - 5 MG,sin_informacion,(No se encontró información),1
38520,MUCOBROL 4 MG / 5 ML,sin_informacion,(No se encontró información),1
38523,MULTIDERM 2 % UNGUENTO,sin_informacion,(No se encontró información),1
38524,MULTIVIRAL X 30 CAPSULAS,sin_informacion,(No se encontró información),1
38526,MUVETT 300 MG,sin_informacion,(No se encontró información),1
38529,NACLODIN 0.150 MG,sin_informacion,(No se encontró información),1
38530,NAFINA 1 % CREMA,sin_informacion,(No se encontró información),1
38545,NEULEVAL 500 MG,sin_informacion,(No se encontró información),1
38546,NEULEVAL 750 MG,sin_informacion,(No se encontró información),1
38557,NIPE PLUS,sin_informacion,(No se encontró información),1
38560,NITAX 500 MG,sin_informacion,(No se encontró información),1
38576,NOTOLAC 20 MG,sin_informacion,(No se encontró información),1
38577,NOTOLAC 20 MG,sin_informacion,(No se encontró información),1
38580,NYTAXIN 500 MG,sin_informacion,(No se encontró información),1
38584,OFAFLAN 2 MG / ML,sin_informacion,(No se encontró información),1
38585,OFTERRA UNGUENTO OFTALMICO,sin_informacion,(No se encontró información),1
38588,OLMECAR 40 MG,sin_informacion,(No se encontró información),1
38628,OTANOL 50 MG / ML,sin_informacion,(No se encontró información),1
38642,PASIM 10 MG / ML,sin_informacion,(No se encontró información),1
38643,PASOLAX,sin_informacion,(No se encontró información),1
38652,PEPTO-BISMOL 525 MG / 30 ML,sin_informacion,(No se encontró información),1
38653,PEREBRON 28 MG / 5 ML,sin_informacion,(No se encontró información),1
38654,PEREBRON 28 MG / 5 ML,sin_informacion,(No se encontró información),1
38655,PERIDONT 0.12 %,sin_informacion,(No se encontró información),1
38657,PERTEN 1 %,sin_informacion,(No se encontró información),1
38659,PERTEN 1 %,sin_informacion,(No se encontró información),1
38662,PIMADOL 10 MG,sin_informacion,(No se encontró información),1
38674,OTODON 2 % - 5 %,sin_informacion,(No se encontró información),1
38677,POTAX 10 MEQ,sin_informacion,(No se encontró información),1
38700,PRESIDERM 2 % UNGUENTO,sin_informacion,(No se encontró información),1
38701,PREVERAL CON CODEINA,sin_informacion,(No se encontró información),1
38704,PROTOSULFIL 1 % CREMA,sin_informacion,(No se encontró información),1
38705,PROVICAR 2 G / 10 ML,sin_informacion,(No se encontró información),1
38716,OTIRILIN 4 % - 1 %,sin_informacion,(No se encontró información),1
38731,RINARIS 2.5 MG - 30 MG / 5 ML,sin_informacion,(No se encontró información),1
38735,RINOMAX 0.25 % - 0.125 % - 0.25 %,sin_informacion,(No se encontró información),1
38754,ROVARTAL 40 MG,sin_informacion,(No se encontró información),1
38763,SALBUTAN 100 MCG / DOSIS,sin_informacion,(No se encontró información),1
38764,SARIFAN COMPOSITUM,sin_informacion,(No se encontró información),1
38794,SILDEX 100 MG,sin_informacion,(No se encontró información),1
38795,SILDEX 100 MG,sin_informacion,(No se encontró información),1
38811,SULIXTRA 0.4 MG,sin_informacion,(No se encontró información),1
38812,SULIXTRA DUO 0.4 MG - 0.5 MG,sin_informacion,(No se encontró información),1
38813,SULIXTRA DUO 0.4 MG - 0.5 MG,sin_informacion,(No se encontró información),1
38838,TAMOA 250 MG / 5 ML,sin_informacion,(No se encontró información),1
38841,TAMSULON 0.4 MG,sin_informacion,(No se encontró información),1
38845,TANTUN 0.1 %,sin_informacion,(No se encontró información),1
38858,TIALIN 50 MG,sin_informacion,(No se encontró información),1
38859,TIALIN 50 MG,sin_informacion,(No se encontró información),1
38860,TIDOR 2 % - 0.5 %,sin_informacion,(No se encontró información),1
38861,TILODRIN 4 MG / ML,sin_informacion,(No se encontró información),1
38862,TILODRIN 30 MG / 15 ML,sin_informacion,(No se encontró información),1
38880,TONERVOL 5 MG,sin_informacion,(No se encontró información),1
38884,TRACEVAL 500 MG - 50 MG,sin_informacion,(No se encontró información),1
38885,TRACEVAL 325 MG - 37.5 MG,sin_informacion,(No se encontró información),1
38889,TRAMAL LONG 150 MG,sin_informacion,(No se encontró información),1
38896,FLUTIXAIR 250 MCG -25 MCG,sin_informacion,(No se encontró información),1
38908,ULTAMYN 750 MG,sin_informacion,(No se encontró información),1
38910,UROSINA 0.4 MG,sin_informacion,(No se encontró información),1
38912,VALPRON 250 MG / 5 ML,sin_informacion,(No se encontró información),1
38936,VASPITOR 40 MG,sin_informacion,(No se encontró información),1
38937,VASPITOR 40 MG,sin_informacion,(No se encontró información),1
