producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio
37471,ME43410/2,ANTAAR 1.25 MG X 10 TABLETAS RECUBIERTAS,ANTAAR,,TABLETAS,"CALOX INTERNATIONAL, C.A."
37474,ME40266,ANTILAX PLUS 2 MG - 125 MG X 10 CAPSULAS,ANTILAX PLUS,,CAPSULAS,LABORATORIOS FARMA S.A.
37476,ME42864,APIRET 120 MG / 5 ML SOLUCION ORAL,APIRET,,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A."
37477,ME42860,APIRET 160 MG / 5 ML SOLUCION ORAL,APIRET,,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A."
37479,ME42943,APIRETFLU DIA X 6 GRANULADO,APIRETFLU DIA X,Acetaminofen - Cafeina,GRANULADOS,"LABORATORIOS L.O. OFTALMI, C.A."
37480,ME44489,APITENA 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,APITENA,Apixaban,COMPRIMIDOS,FARMACEUTICA PARAGUAYA S.A.
37481,ME43847,APIBLOTAN 5 MG X 60 TABLETAS RECUBIERTAS,APIBLOTAN,Apixaban,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED
37502,ME31150,ASCAFYL PLUS X 10 TABLETAS RECUBIERTAS,ASCAFYL PLUS X,Acetaminofen - Cafeina,TABLETAS,LABORATORIOS SIEGFRIED S.A.
37503,ME17492,ASCAFYL X 10 TABLETAS RECUBIERTAS,ASCAFYL X,Acetaminofen - Cafeina,TABLETAS,LABORATORIOS SIEGFRIED S.A.
37508,ME19621/2,ATAMEL 500 MG X 10 TABLETAS,ATAMEL,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A."
39080,ME19620,ATAMEL 100 MG / ML SOLUCION ORAL,ATAMEL,Acetaminofen,SOLUCION ORAL,"CALOX INTERNATIONAL, C.A."
37516,ME39468/3,ATORVACOF 20 MG X 30 TABLETAS RECUBIERTAS,ATORVACOF,Atorvastatina,TABLETAS,"LABORATORIO COFASA, S.A."
37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN BID,Amoxicilina - Clavulanico Acido,TABLETAS,SMITHKLINE BEECHAM LIMITED
37557,ME29570,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,BENCIDAMINA CLORHIDRATO,,SOLUCION TOPICA,"LABORATORIO COFASA, S.A."
37563,ME33045/2,BENZODIAZOL 0.25 MG - 5 MG X 4 PASTILLAS SABOR A TUTTI FRUTTI,BENZODIAZOL,,PASTILLA,LABORATORIOS SIEGFRIED S.A.
37566,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,BETADINE,,SOLUCION TOPICA,LABORATORIOS FARMA S.A.
37567,ME37878,BETADUO 6.430 MG - 2.631 MG / ML X 1 AMPOLLA,BETADUO,,INYECTABLE,"PHARMAYECT, S.A."
37570,ME16115,BETAGEN SOLSPEN X 1 AMPOLLA,BETAGEN SOLSPEN X,,INYECTABLE,"BIOTECH LABORATORIOS, C.A."
37575,ME22866,BEXILON 4 MG / 5 ML JARABE,BEXILON,,JARABE,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A."
37576,ME42551,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,BILOL,,TABLETAS,SWISS PARENTERALS LTD
37586,ME44259/2,BIPROLIL HCT 5 MG - 6.25 MG X 15 COMPRIMIDOS RECUBIERTOS,BIPROLIL HCT,Bisoprolol - Hidroclorotiazida,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A."
37588,ME40280,BISOBLOC H 5 MG - 6.25 MG TABLETAS RECUBIERTAS,BISOBLOC H,Bisoprolol - Hidroclorotiazida,TABLETAS,"GLOBAL FARMA, S.A."
37604,ME35864,BRASARTAN 160 MG X 30 TABLETAS RECUBIERTAS,BRASARTAN,Valsartan,TABLETAS,LABORATORIOS FARMA S.A.
38668,ME34513,BREINOX 400 MG X 30 TABLETAS,BREINOX,Piracetam,TABLETAS,LABORATORIOS FARMA S.A.
37609,ME39097,BROFLEMA 8 MG / 5 ML SOLUCION ORAL,BROFLEMA,,SOLUCION ORAL,"BIOTECH LABORATORIOS, C.A."
