producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37718,ME43917,CEFOTAS 500 MG X 20 CAPSULAS,CEFOTAS,Cefadroxilo,CAPSULAS,SYNTOFARMA S.A.,sin_desc_lab
37719,HO33864,CEFTRIAXONA 1 G X 1 AMPOLLA,CEFTRIAXONA,,INYECTABLE,VITALIS S.A.C.I.,sin_desc_lab
37720,HO29420,CEFTRIAXONA 1 G POLVO PARA SOLUCION INYECTABLE,CEFTRIAXONA,Ceftriaxona,INYECTABLE,"EMPRESA FARMACEUTICA ""8 DE MARZO""",sin_desc_lab
37727,ME42717,CETIRIZINA CLORHIDRATO 10 MG X 10 TABLETAS RECUBIERTAS,CETIRIZINA CLORHIDRATO,Cetirizina,TABLETAS,CADILA PHARMACEUTICALS LIMITED,sin_desc_lab
37730,ME44603,CETIRIZINA 5 MG / 5 ML SOLUCION ORAL,CETIRIZINA,Cetirizina,SOLUCION ORAL,ANTILA LIFESCIENCES PVT. LTD. (GANDHINAGAR),sin_desc_lab
37744,ME43391,CILOSTAZOL 50 MG X 30 TABLETAS RECUBIERTAS,CILOSTAZOL,Cilostazol,TABLETAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
37745,ME42967,CILOSTAZOL 100 MG X 30 TABLETAS,CILOSTAZOL,Cilostazol,TABLETAS,WEST-COAST PHARMACEUTICAL WORKS LTD,sin_desc_lab
37749,ME39629,PROFITIP 100 MG X 30 TABLETAS,PROFITIP,,TABLETAS,MACLEODS PHARMACEUTICALS LTD,sin_desc_lab
37753,HO44719,CIPROFLOXACINA 200 MG / 100 ML SOLUCION INYECTABLE,CIPROFLOXACINA,,INYECTABLE,"SHIJIAZHUANG NO 4 PHARMACEUTICAL CO., LTD",sin_desc_lab
37754,HO44679,CIPROFLOXACINA INFUSION 0.2 G / 100 ML SOLUCION PARA INFUSION INTRAVENOSA,CIPROFLOXACINA INFUSION,Ciprofloxacino,INYECTABLE,U SQUARE LIFESCIENCE PVT. LTD.,sin_desc_lab
37761,ME42422,CIPROFLOXACINO 500 MG X 10 TABLETAS RECUBIERTAS,CIPROFLOXACINO,Ciprofloxacino,TABLETAS,SWISS PARENTERALS LTD,sin_desc_lab
37769,ME42521,CITRAPOL SOLUCION,CITRAPOL SOLUCION,Citrico Acido,LOCION,"SM PHARMA, C.A.",sin_desc_lab
37783,ME44654,CLINDAMICINA 300 MG X 16 CAPSULAS,CLINDAMICINA,Clindamicina,CAPSULAS,"ANMOL HEALTHCARE LABORATORY PVT, LTD",sin_desc_lab
37788,ME42956,CLOMIFENO CITRATO 50 MG X 30 TABLETAS,CLOMIFENO CITRATO,Clomifeno,TABLETAS,WEST-COAST PHARMACEUTICAL WORKS LTD,sin_desc_lab
37805,ME37534,CLOPIDOGREL 75 MG X 30 TABLETAS RECUBIERTAS,CLOPIDOGREL,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37806,ME43375,CLOPIDOGREL 75 MG X 30 TABLETAS RECUBIERTAS,CLOPIDOGREL,Clopidogrel,TABLETAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37817,ME34033,CLORTALIDONA 25 MG X 30 TABLETAS,CLORTALIDONA,Clortalidona,TABLETAS,EMPRESA LABORATORIOS MEDSOL,sin_desc_lab
37818,HO37055,CLORURO DE POTASIO 2 MEQ / ML SOLUCION INYECTABLE,CLORURO DE POTASIO,,INYECTABLE,"CORPAUL,COLOMBIA",sin_desc_lab
