producto_id,sku,nombre_comercial,nucleo,molecula,laboratorio,foto_url,fuente,detalle
37294,ME4629/3,ACIDO FOLICO 5 MG X 20 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23.jpg,cobeca,AC FOLICO COMP 5MG X20 MEG
37295,ME4629/4,ACIDO FOLICO 5 MG X 30 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92955.jpg,cobeca,ACIDO FOLICO COMP 5MG X30 MEG
37299,ME36224/3,ACIDO FOLICO 10 MG X 20 TABLETAS,ACIDO FOLICO,Folico Acido,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92858.jpg,cobeca,ACIDO FOLICO TAB 10MG X20 PLX
37300,ME36224/4,ACIDO FOLICO 10 MG X 30 TABLETAS,ACIDO FOLICO,Folico Acido,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92857.jpg,cobeca,ACIDO FOLICO TAB 10MG X30 PLX
37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,cobeca,ACETAMINOFEN COMP 500MG X10 LETI
37309,ME43639/2,ACETAMINOFEN 650 MG X 10 TABLETAS,ACETAMINOFEN,Acetaminofen,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52390.jpg,cobeca,ACETAMINOFEN TAB 650MG X10 L.O
37315,ME42488,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51788.jpg,cobeca,ACETAMINOFEN SOL 180MG/5ML 120ML LETI
37318,ME31234,ACETAMINOFEN 500 MG X 10 TABLETAS,ACETAMINOFEN,Acetaminofen,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2337.jpg,cobeca,ACETAMINOFEN TAB 500MG X10 CLX
37319,ME23275/2,ACETAMINOFEN 500 MG X 10 TABLETAS,ACETAMINOFEN,Acetaminofen,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15698.jpg,cobeca,ACETAMINOFEN TAB 650MG X10 PLX
37342,ME31108,ACICLOVIR 200 MG X 25 TABLETAS,ACICLOVIR,Aciclovir,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11560.jpg,cobeca,ACICLOVIR TAB 200MG X25 CLX
37348,ME42963,ACIDO ASCORBICO 100 MG / ML SOLUCION ORAL,ACIDO ASCORBICO,Ascorbico Acido,"BIOQUIMICA INTERNACIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29208.jpg,cobeca,VIT C SOL ORAL 100MG/ML X 120ML BIOQ
37351,HO3187/2,ACIDO FOLICO 10 MG / ML X 3 AMPOLLAS,ACIDO FOLICO,Folico Acido,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20.jpg,cobeca,ACIDO FOLICO AMP 10MG/ML X3 MEG
37353,ME33347,ACIDO FOLICO 10 MG COMPRIMIDOS,ACIDO FOLICO,Folico Acido,"LABORATORIOS VARGAS, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4100.jpg,cobeca,ACIDO FOLICO COMP 10MG 20G VARG
37354,ME4630/3,ACIDO FOLICO 10 MG X 20 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24.jpg,cobeca,ACIDO FOLICO COMP 10MG X20 MEG
37355,ME4630/4,ACIDO FOLICO 10 MG X 30 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90738.jpg,cobeca,ACIDO FOLICO COMP 10MG X30 MEG
