producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata,sigla,clave_real,lab_real,lab_nuevo,nota
37874,ME32194/2,DEFLAZACORT 6 MG X 10 COMPRIMIDOS,DEFLAZACORT,Deflazacort,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,generico_otro_lab,cobeca,lab_generico,,DEFLAZACORT TAB 6MG X10 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91527.jpg,CLX,CLX,"CALOX INTERNATIONAL, C.A.",no,
37901,HO42510,DEXAMETASONA FOSFATO SODICO 4 MG / ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,CAPLIN POINT LABORATORIES LIMITED,generico_otro_lab,cobeca,lab_generico,,DEXAMETASONA F/SOD SOL INY 4MG/1MLX10 DT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23086.jpg,DT,DT,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,
37902,HO42502,DEXAMETASONA FOSFATO SODICO 8 MG / 2 ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,DEUTSCHE LABS. INC.,generico_otro_lab,cobeca,lab_generico,,DEXAMETASONA F/SOD SOL INY 8MG/2MLX10 DT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23087.jpg,DT,DT,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,
37904,HO42601,DEXAMETASONA 8 MG / 2 ML X 10 AMPOLLAS,DEXAMETASONA,Dexametasona,INYECTABLE,LABORATORIO BIOSANO S.A.,generico_otro_lab,cobeca,lab_generico,,DEXAMETASONA F/SOD SOL INY 8MG/2MLX10 DT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23087.jpg,DT,DT,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,
37913,ME43584,DIACEREINA 50 MG X 10 CAPSULAS,DIACEREINA,Diacereina,CAPSULAS,RONALD PHARMACEUTICALS PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,DIACEREINA CAP 50MG X 10 MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50231.jpg,MT,MT,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,
37921,ME44533,DICARVEX 25 MG X 30 TABLETAS,DICARVEX,Carvedilol,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,generico_otro_lab,cobeca,lab_generico,,CARVEDILOL TAB REC 25MG X30 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54225.jpg,KIMIC,KIMIC,"LABORATORIOS KIMICEG, C.A.",no,
37929,ME43045/2,DICLOFENACO POTASICO 50 MG X 10 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,generico_otro_lab,cobeca,lab_generico,,DICLOFENACO POT TAB REC 50MG X10 BLUE/M,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54424.jpg,BLUE/M,BLUE,"BLUE MEDICAL PHARMACEUTICAL, C.A.",si,
37931,ME43045/3,DICLOFENACO POTASICO 50 MG X 20 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,generico_otro_lab,cobeca,lab_generico,,DICLOFENACO POTA TAB 50MG X20 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/55.jpg,KIMIC,KIMIC,"LABORATORIOS KIMICEG, C.A.",no,
37932,ME28851,DICLOFENAC SODICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,DICLOFENAC SODICO,,TABLETAS,LABORATORIO LA SANTE C.A.,generico_otro_lab,cobeca,lab_generico,,DICLOFENAC POTA TAB 50MG X20 CR DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23145.jpg,CR DAC,CR DAC,"CASA DE REPRESENTACION DAC55, C.A.",no,
37934,ME43099,DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,DICLOFENACO POTASICO,,TABLETAS,VIDA LABORATORIES (P) LIMITED,generico_otro_lab,cobeca,lab_generico,,DICLOFENACO POTA TAB 50MG X20 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/55.jpg,KIMIC,KIMIC,"LABORATORIOS KIMICEG, C.A.",no,
37955,ME38177/4,DIOSMINA 600 MG X 30 TABLETAS RECUBIERTAS,DIOSMINA,Diosmina,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,DIOSMINA TAB REC 600MG X30 DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53521.jpg,DAC,DAC,"CASA DE REPRESENTACION DAC55, C.A.",no,
37956,ME36420,DIOSMINA - HESPERIDINA 450 MG - 50 MG X 30 TABLETAS RECUBIERTAS,DIOSMINA - HESPERIDINA,Diosmina - Hesperidina,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,DIOSMINA/HESPER TAB 450MG/50MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52910.jpg,ANG/H,ANG/H,"INVERSIONES ANGELUS HEALTH, C.A.",si,
