producto_id,nombre,molecula_detectada,ref_nombre,atc_id,nota_del_dueno
"37615","BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE","bromexina clorhidrato","Bromhexina","6110",""
"39664","BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE","bromexina","Bromhexina","6110",""
