id,sku,nombre_comercial,foto_url
37485,ME37211/2,ARANDA 2.5 MG - 50 MG X 10 CAPSULAS,
37486,ME37211/3,ARANDA 2.5 MG - 50 MG X 30 CAPSULAS,
37487,ME37212,ARANDA 5 MG - 100 MG X 10 CAPSULAS,
37887,HO44408,DESKEFLAS 50 MG / 2 ML X 3 AMPOLLAS,
37888,ME44407,DESKEFLAS 25 MG X 10 TABLETAS RECUBIERTAS,
38276,ME37980,KEPPRA 1000 MG X 30 TABLETAS RECUBIERTAS,
38277,ME37979,KEPPRA 500 MG X 30 TABLETAS RECUBIERTAS,
39408,ME998,VITAMINA C 100 MG / 5 ML JARABE,
39434,ME44711,ATAPEC 25 MG X 30 COMPRIMIDOS RECUBIERTOS,
39530,ME37978,KEPPRA 100 MG / ML SOLUCION ORAL,
