producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37753,HO44719,CIPROFLOXACINA 200 MG / 100 ML SOLUCION INYECTABLE,CIPROFLOXACINA,,INYECTABLE,SHIJIAZHUANG NO 4 PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA INF INY200MG/100ML CRDIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21337.jpg
37754,HO44679,CIPROFLOXACINA INFUSION 0.2 G / 100 ML SOLUCION PARA INFUSION INTRAVENOSA,CIPROFLOXACINA INFUSION,Ciprofloxacino,INYECTABLE,U SQUARE LIFESCIENCE PVT. LTD.,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA INF INY200MG/100ML CRDIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21337.jpg
37755,ME27827/4,CIPROFLOXACINA 500 MG X 10 TABLETAS RECUBIERTAS,CIPROFLOXACINA,,TABLETAS,CALOX INTERNATIONAL C.A.,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA TAB 500MG X10 CR DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20945.jpg
37756,ME27827/3,CIPROFLOXACINA 500 MG X 6 TABLETAS RECUBIERTAS,CIPROFLOXACINA,,TABLETAS,CALOX INTERNATIONAL C.A.,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA TAB 500MG X6 ALESS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20511.jpg
37759,ME26487/3,CIPROFLOXACINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS,CIPROFLOXACINA,,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA TAB 500MG X10 CR DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20945.jpg
37760,ME26487/2,CIPROFLOXACINA 500 MG X 6 COMPRIMIDOS RECUBIERTOS,CIPROFLOXACINA,,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,lab_antiguo,cobeca,lab,no,CIPROFLOXACINA TAB 500MG X6 ALESS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20511.jpg
37767,ME36822/2,CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,CITRATO DE CALCIO,,TABLETAS,CALOX INTERNATIONAL C.A.,lab_antiguo,cobeca,lab,no,CITRATO D/CA + VIT D3 TAB X30 G PHAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23439.jpg
37788,ME42956,CLOMIFENO CITRATO 50 MG X 30 TABLETAS,CLOMIFENO CITRATO,Clomifeno,TABLETAS,WEST-COAST PHARMACEUTICAL WORKS LTD,lab_antiguo,cobeca,lab,no,CLOMIFENO TAB 50MG X 30 FM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28709.jpg
37805,ME37534,CLOPIDOGREL 75 MG X 30 TABLETAS RECUBIERTAS,CLOPIDOGREL,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,lab_antiguo,cobeca,lab,no,CLOPIDOGREL TAB 75MG X30 ALESS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22848.jpg
37814,ME43585/4,DOPALEN 200 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,DOPALEN,Mebeverina,CAPSULAS,BIOTECH LABORATORIOS C.A.,lab_antiguo,cobeca,lab,no,CLORHID D/MEBEVERINA CAP 200MG X30 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54229.jpg
37818,HO37055,CLORURO DE POTASIO 2 MEQ / ML SOLUCION INYECTABLE,CLORURO DE POTASIO,,INYECTABLE,CORPAUL COLOMBIA,lab_antiguo,cobeca,lab,no,"CLORURO D/SOD SOL INY 0,9% 100ML IPS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21357.jpg
37820,ME32566,CLORURO DE SODIO 0.9 % SOLUCION ISOTONICA PARA IRRIGACION ESTERIL,CLORURO DE SODIO,,LOCION,LABORATORIO BEHRENS C.A.,lab_antiguo,cobeca,lab,no,CLORURO D/MAGNES 25G FCH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17780.jpg
37831,ME34845,COLLOVAR SOLUCION,COLLOVAR SOLUCION,Lactico Acido - Salicilico Acido,LOCION,LABORATORIOS VARGAS S.A.,lab_antiguo,cobeca,lab,no,LECHE LIMP LIVING C/AC LACTICO 120ML,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29281.jpg
